year,admin,ba,cc,other,pregnancy,prior,shortben,ssbg,tax,work
1998,0.1086311626,0.5305033278,0.1117814867,0.0779308294,-0,-0,-0,0.0399426806,-0,0.0556015271
1999,0.1031606829,0.4510662124,0.16018647105,0.07580421479999999,4.629966e-4,-0,-0,0.05509176095,0,0.0933356733
2000,0.0955800529,0.3846956463,0.1769680437,0.08545711154999999,0.0033008956,-0,6.15318e-5,0.0557369044,0,0.1100121473
2001,0.0939492926,0.3379616981,0.1852043196,0.05932784875,0.0067988856,0,1.471685e-4,0.0461397797,0,0.1245955179
2002,0.0899312315,0.352211581,0.1777645835,0.07158037789999999,0.0056110535,0,0.0017675737,0.0389403977,0,0.1230672018
2003,0.0858713149,0.350568269,0.1792180694,0.073268511,0.00600349205,0,0.001394394,0.035862495849999995,0,0.1198125802
2004,0.0847891116,0.361462191,0.1727270264,0.07511318410000001,0.00698633865,0,0.0014779199,0.0360909338,0,0.1168196077
2005,0.08467051275000001,0.3484157234,0.163042217,0.07809932555,0.0078223883,0.0049047187,0.0021601687,0.034020126,0,0.1168668204
2006,0.08613894,0.2995579072,0.190529682,0.077383533,0.01735156785,6.639122e-4,0.0025120613,0.0338162937,-0,0.118509084
2007,0.0834611277,0.2820616451,0.1840875073,0.0904862073,0.0223268466,0.0025506462,0.006251452,0.039280438,-0,0.11482751
2008,0.0804201294,0.2508293117,0.1854760593,0.0993245743,0.0308925899,0.0075496822,0.0067170148,0.0372585443,-0,0.1125528515
2009,0.0757059805,0.2443923118,0.1526796828,0.0933205579,0.0239887851,0.0080004536,0.0174717952,0.0337093678,-0,0.1096929843
2010,0.0717147872,0.2305886423,0.1459073716,0.1104807394,0.020747417900000002,0.012027328,0.0179504972,0.0327254623,0,0.1130176186
2011,0.0702988413,0.2260977823,0.1368473264,0.1226276466,0.0172243312,0.0111237486,0.014517501,0.0348758453,0,0.1082258275
2012,0.0712491784,0.2323956227,0.1437007193,0.12784324795,0.0220627048,0.0090548805,0.008240940450000001,0.0363641621,0,0.0979110996
2013,0.075486015,0.2197559769,0.1279577052,0.13417530249999998,0.0149976562,9.858745e-4,0.0061262157,0.0379215849,-0,0.089720911
