year,category,value
1998,admin,0.11128550228627451
1999,admin,0.10881027958823529
2000,admin,0.10205408762745098
2001,admin,0.09967902018039215
2002,admin,0.09404549445882353
2003,admin,0.08847900190392156
2004,admin,0.088329517994
2005,admin,0.08786810236
2006,admin,0.08821299699215686
2007,admin,0.08768870149215686
2008,admin,0.08549269150784314
2009,admin,0.08042036778627451
2010,admin,0.07434669716862745
2011,admin,0.07286961976862745
2012,admin,0.07501145568823529
2013,admin,0.07891059857254902
1998,ba,0.5503880668346939
1999,ba,0.4517245355632653
2000,ba,0.3862012572862745
2001,ba,0.3548386247627451
2002,ba,0.34887475230784315
2003,ba,0.35199562218823527
2004,ba,0.35646571981960784
2005,ba,0.34640878028627453
2006,ba,0.3168340975745098
2007,ba,0.2801164672960784
2008,ba,0.25500048778235296
2009,ba,0.24968477229411765
2010,ba,0.2552014403176471
2011,ba,0.2556313970490196
2012,ba,0.2471632605862745
2013,ba,0.2361674300352941
1998,cc,0.12007439170204082
1999,cc,0.16764200884375
2000,cc,0.1911084291627451
2001,cc,0.1873492693764706
2002,cc,0.18360531435294117
2003,cc,0.1840663345764706
2004,cc,0.1824932167372549
2005,cc,0.18519070601568627
2006,cc,0.19327473551372548
2007,cc,0.19734990597843138
2008,cc,0.19447052224313727
2009,cc,0.17919087818039214
2010,cc,0.16847264666862746
2011,cc,0.163649182306
2012,cc,0.165930554106
2013,cc,0.16958917493265305
1998,other,0.110384576488
1999,other,0.105714903836
2000,other,0.09843948133
2001,other,0.09866784036666666
2002,other,0.103729277672
2003,other,0.1074051463254902
2004,other,0.11317701732799999
2005,other,0.120464089126
2006,other,0.12164015383921568
2007,other,0.12960798327647058
2008,other,0.14054809319411765
2009,other,0.14733131360980392
2010,other,0.15472370764509805
2011,other,0.165634566452
2012,other,0.175804778122
2013,other,0.184250053886
1998,pregnancy,2.0244766862745095e-4
1999,pregnancy,0.0058966718647058824
2000,pregnancy,0.01369672594509804
2001,pregnancy,0.025841676650980392
2002,pregnancy,0.03150074853921569
2003,pregnancy,0.03452269026
2004,pregnancy,0.032328826702
2005,pregnancy,0.032326356802040816
2006,pregnancy,0.037477510014
2007,pregnancy,0.050345062684
2008,pregnancy,0.06122783623529412
2009,pregnancy,0.0659223782882353
2010,pregnancy,0.065974421662
2011,pregnancy,0.066358152804
2012,pregnancy,0.068977761012
2013,pregnancy,0.071662926452
1998,prior,1.558284450980392e-4
1999,prior,0.015090415543137255
2000,prior,0.028984004390196078
2001,prior,0.04265497846470588
2002,prior,0.040645665319607845
2003,prior,0.042968986736
2004,prior,0.04190989682156863
2005,prior,0.04287697405098039
2006,prior,0.04540521546078431
2007,prior,0.04773198901372549
2008,prior,0.051090302818
2009,prior,0.04870066630588235
2010,prior,0.0513273972372549
2011,prior,0.050447907088235294
2012,prior,0.05119233670588235
2013,prior,0.048449782117647056
1998,shortben,0
1999,shortben,0.0020775839725490197
2000,shortben,0.004984462701960784
2001,shortben,0.00801167863137255
2002,shortben,0.00876035898627451
2003,shortben,0.008641468709803922
2004,shortben,0.00837640908627451
2005,shortben,0.009297447465306122
2006,shortben,0.010430124233333333
2007,shortben,0.01333806928627451
2008,shortben,0.015677845856862747
2009,shortben,0.023374578656
2010,shortben,0.024888997494117646
2011,shortben,0.025350364301960786
2012,shortben,0.021766762248
2013,shortben,0.02108511044117647
1998,ssbg,0.042352824254
1999,ssbg,0.05429528724
2000,ssbg,0.05072626497843137
2001,ssbg,0.041331900107843135
2002,ssbg,0.03769476472156863
2003,ssbg,0.03710455828
2004,ssbg,0.03626911062745098
2005,ssbg,0.0370919542627451
2006,ssbg,0.03774757771960784
2007,ssbg,0.038647365738
2008,ssbg,0.036690789843137256
2009,ssbg,0.03436111493137255
2010,ssbg,0.03161015875490196
2011,ssbg,0.031271596278000004
2012,ssbg,0.032684955874
2013,ssbg,0.03445391026938775
1998,tax,6.104644901960784e-5
1999,tax,0.0032661361235294117
2000,tax,0.007523327266666667
2001,tax,0.011886449027450981
2002,tax,0.016562982238
2003,tax,0.018972093533333335
2004,tax,0.022214586545098038
2005,tax,0.02284264630392157
2006,tax,0.02603354779215686
2007,tax,0.031810766770588236
2008,tax,0.037885599368627454
2009,tax,0.044705162964705884
2010,tax,0.04854564715686274
2011,tax,0.053048008439215685
2012,tax,0.053377841450980394
2013,tax,0.054528677505882354
1998,work,0.07670506156122449
1999,work,0.10001101109795918
2000,work,0.11896636842941176
2001,work,0.13776450118235295
2002,work,0.13711995018039216
2003,work,0.12876065679215687
2004,work,0.12320249806078432
2005,work,0.12168588948823529
2006,work,0.12368122870392156
2007,work,0.12516868396470587
2008,work,0.12293537968431373
2009,work,0.1267671467
2010,work,0.1263682593745098
2011,work,0.12488147707058823
2012,work,0.11842250668235293
2013,work,0.11542818617058824
